Cents,TOTAL (T),TOTAL Most Frequent,Western (W),Non-Western (NW),Instrumental (In),Vocal (Vo),T 95% CI,TMF 95% CI,W 95% CI,NW 95% CI,IN 95% CI,Vo 95% CI,T SE high,TMF SE high,W SE high,NW SE high,In SE high,Vo SE high,T SE low,TMF SE low,W SE low,NW SE low,In SE low,Vo SE low
-48,0.356,0.40398,0.444153846,0.245081633,0.153375,0.488809524,0.058026029,0.057909631,0.188894193,0.050530931,0.059192717,0.128043779,0.41402603,0.46188963,0.63304804,0.29561256,0.21256772,0.6168533,0.297974,0.34607037,0.25525965,0.1945507,0.09418228,0.36076574
-45,0.372,0.45002,0.475384615,0.2535,0.1209,0.542095238,0.064410557,0.068824487,0.225054708,0.051694729,0.043779289,0.144151359,0.43641056,0.51884449,0.70043932,0.30519473,0.16467929,0.6862466,0.307589,0.38119551,0.25032991,0.20180527,0.07712071,0.39794388
-42,0.408,0.47108,0.534692308,0.274367347,0.147175,0.551785714,0.065829227,0.067420728,0.231693037,0.051013562,0.047158568,0.145207374,0.47382923,0.53850073,0.76638534,0.32538091,0.19433357,0.69699309,0.342171,0.40365927,0.30299927,0.22335378,0.10001643,0.40657834
-39,0.459,0.54417,0.478384615,0.340989796,0.13865,0.667666667,0.075620182,0.080575764,0.209315836,0.076916362,0.046948472,0.165936806,0.53462018,0.62474576,0.68770045,0.41790616,0.18559847,0.83360347,0.38338,0.46359424,0.26906878,0.26407343,0.09170153,0.50172986
-36,0.513,0.56724,0.481307692,0.396173469,0.191475,0.676285714,0.078584506,0.078527054,0.214383582,0.08119369,0.06028657,0.174169194,0.59158451,0.64576705,0.69569127,0.47736716,0.25176157,0.85045491,0.434415,0.48871295,0.26692411,0.31497978,0.13118843,0.50211652
-33,0.598,0.69796,0.673346154,0.431153061,0.200325,0.83602381,0.088955839,0.09180183,0.252589064,0.087726905,0.055250771,0.189707152,0.68695584,0.78976183,0.92593522,0.51887997,0.25557577,1.02573096,0.509044,0.60615817,0.42075709,0.34342616,0.14507423,0.64631666
-30,0.667,0.75357,0.624846154,0.515091837,0.264875,0.88902381,0.099241709,0.097781613,0.24256639,0.107366751,0.091939336,0.215334134,0.76624171,0.85135161,0.86741254,0.62245859,0.35681434,1.10435794,0.567758,0.65578839,0.38227976,0.40772509,0.17293566,0.67368968
-27,0.739,0.88825,0.705192308,0.566653061,0.2837,0.970404762,0.111157585,0.119967968,0.252548048,0.123023855,0.080969834,0.252499746,0.85015759,1.00821797,0.95774036,0.68967692,0.36466983,1.22290451,0.627842,0.76828203,0.45264426,0.44362921,0.20273017,0.71790502
-24,0.89,1.05406,0.7825,0.700214286,0.367525,1.107071429,0.128864001,0.138865917,0.282794958,0.144572991,0.104588293,0.297830179,1.018864,1.19292592,1.06529496,0.84478728,0.47211329,1.40490161,0.761136,0.91519408,0.49970504,0.55564129,0.26293671,0.80924125
-21,1.01,1.16343,0.866730769,0.800908163,0.506425,1.155047619,0.138132165,0.139009955,0.318049248,0.152945086,0.128301836,0.328040982,1.14813217,1.30243995,1.18478002,0.95385325,0.63472684,1.4830886,0.871868,1.02442005,0.54868152,0.64796308,0.37812316,0.82700664
-18,1.078,1.30066,0.900769231,0.861377551,0.560375,1.153952381,0.123004404,0.132169835,0.272423548,0.137792364,0.110956639,0.281722589,1.2010044,1.43282984,1.17319278,0.99916992,0.67133164,1.43567497,0.954996,1.16849016,0.62834568,0.72358519,0.44941836,0.87222979
-15,1.269,1.50007,0.967461539,1.038214286,0.733225,1.270785714,0.138320932,0.143273601,0.274397126,0.159029993,0.145529579,0.308727816,1.40732093,1.6433436,1.24185867,1.19724428,0.87875458,1.57951353,1.130679,1.3567964,0.69306441,0.87918429,0.58769542,0.9620579
-12,1.507,1.73605,1.062923077,1.256295918,1.010625,1.350761905,0.151055246,0.144484138,0.318997336,0.170473442,0.227673623,0.321306943,1.65805525,1.88053414,1.38192041,1.42676936,1.23829862,1.67206885,1.355945,1.59156586,0.74392574,1.08582248,0.78295138,1.02945496
-9,1.863,2.14067,1.374115385,1.536122449,1.4813,1.448309524,0.181311792,0.162454188,0.383747964,0.205061119,0.340795294,0.325037997,2.04431179,2.30312419,1.75786335,1.74118357,1.82209529,1.77334752,1.681688,1.97821581,0.99036742,1.33106133,1.14050471,1.12327153
-6,2.239,2.56837,1.5945,1.861632653,2.194525,1.556071429,0.235776857,0.214084815,0.447821269,0.272577414,0.507698451,0.3809864,2.47477686,2.78245482,2.04232127,2.13421007,2.70222345,1.93705783,2.003223,2.35428518,1.14667873,1.58905524,1.68682655,1.17508503
-3,2.887,3.24845,2.185692308,2.366020408,3.46945,1.632666667,0.463776052,0.444431888,0.709675364,0.555552935,1.257246524,0.400107126,3.35077605,3.69288189,2.89536767,2.92157334,4.72669652,2.03277379,2.423224,2.80401811,1.47601694,1.81046747,2.21220348,1.23255954
0,3.798,4.26431,2.991538462,3.081806122,4.627175,2.274261905,0.647398033,0.620822349,1.127282741,0.762564655,1.728268385,0.688950127,4.44539803,4.88513235,4.1188212,3.84437078,6.35544339,2.96321203,3.150602,3.64348765,1.86425572,2.31924147,2.89890662,1.58531178
3,2.767,3.21433,2.395538462,2.187785714,3.194375,1.599452381,0.338572091,0.328062394,0.827207172,0.367430891,0.820325716,0.403475122,3.10557209,3.54239239,3.22274563,2.5552166,4.01470072,2.0029275,2.428428,2.88626761,1.56833129,1.82035482,2.37404928,1.19597726
6,2.293,2.60411,1.928461538,1.828071429,2.318225,1.452214286,0.226055672,0.198530478,0.633057264,0.231347305,0.478327251,0.339657886,2.51905567,2.80264048,2.5615188,2.05941873,2.79655225,1.79187217,2.066944,2.40557952,1.29540427,1.59672412,1.83989775,1.1125564
9,1.828,2.09336,1.459923077,1.478336735,1.6183,1.317619048,0.179677562,0.164417107,0.392547083,0.202083434,0.378437955,0.285371501,2.00767756,2.25777711,1.85247016,1.68042017,1.99673796,1.60299055,1.648322,1.92894289,1.06737599,1.2762533,1.23986204,1.03224755
12,1.537,1.77974,1.079615385,1.281612245,1.2728,1.127928571,0.160347239,0.152527848,0.310677224,0.184484412,0.353729586,0.234848092,1.69734724,1.93226785,1.39029261,1.46609666,1.62652959,1.36277666,1.376653,1.62721215,0.76893816,1.09712783,0.91907041,0.89308048
15,1.291,1.52394,0.846153846,1.09305102,0.9942,0.980142857,0.128485076,0.12768853,0.227057553,0.149332178,0.264360356,0.19320305,1.41948508,1.65162853,1.0732114,1.2423832,1.25856036,1.17334591,1.162515,1.39625147,0.61909629,0.94371884,0.72983964,0.78693981
18,1.101,1.2918,0.617384615,0.960112245,0.7606,0.878047619,0.126691922,0.123451295,0.160655708,0.151377721,0.234919162,0.203787471,1.22769192,1.41525129,0.77804032,1.11148997,0.99551916,1.08183509,0.974308,1.16834871,0.45672891,0.80873452,0.52568084,0.67426015
21,0.963,1.08772,0.637461539,0.813683674,0.704525,0.820595238,0.110753987,0.108856999,0.151136255,0.133324901,0.205337305,0.183319842,1.07375399,1.196577,0.78859779,0.94700858,0.9098623,1.00391508,0.852246,0.978863,0.48632528,0.68035877,0.4991877,0.6372754
24,0.827,0.9367,0.521961539,0.705714286,0.5108,0.777095238,0.097031498,0.096737149,0.127931734,0.116807818,0.161873118,0.167363997,0.9240315,1.03343715,0.64989327,0.8225221,0.67267312,0.94445924,0.729969,0.83996285,0.39402981,0.58890647,0.34892688,0.60973124
27,0.713,0.80036,0.478961539,0.600908163,0.4171,0.69602381,0.090919844,0.090368632,0.129643939,0.109221167,0.146542114,0.152375485,0.80391984,0.89072863,0.60860548,0.71012933,0.56364211,0.8483993,0.62208,0.70999137,0.3493176,0.491687,0.27055789,0.54364833
30,0.634,0.71383,0.431230769,0.53294898,0.36465,0.665619048,0.083487923,0.079836435,0.115536721,0.100671328,0.124105916,0.149347522,0.71748792,0.79366644,0.54676749,0.63362031,0.48875592,0.81496657,0.550512,0.63399356,0.31569405,0.43227765,0.24054408,0.51627153
33,0.559,0.62304,0.393307692,0.465744898,0.2896,0.634357143,0.074250154,0.072188694,0.126799557,0.087473554,0.097395011,0.141883748,0.63325015,0.69522869,0.52010725,0.55321845,0.38699501,0.77624089,0.48475,0.55085131,0.26650814,0.37827134,0.19220499,0.49247339
36,0.511,0.54848,0.328692308,0.434142857,0.23885,0.599095238,0.073573811,0.072870234,0.113224318,0.087593575,0.095602492,0.146875826,0.58457381,0.62135023,0.44191663,0.52173643,0.33445249,0.74597106,0.437426,0.47560977,0.21546799,0.34654928,0.14324751,0.45221941
39,0.443,0.50366,0.315,0.368214286,0.21,0.528119048,0.063827404,0.063700086,0.10146702,0.075989606,0.075847663,0.124820523,0.5068274,0.56736009,0.41646702,0.44420389,0.28584766,0.65293957,0.379173,0.43995991,0.21353298,0.29222468,0.13415234,0.40329853
42,0.381,0.41778,0.314115385,0.305561225,0.1867,0.477071429,0.060189673,0.060420653,0.123316343,0.068768598,0.072214138,0.122746843,0.44118967,0.47820065,0.43743173,0.37432982,0.25891414,0.59981827,0.32081,0.35735935,0.19079904,0.23679263,0.11448586,0.35432459
45,0.349,0.38661,0.285615385,0.280632653,0.172525,0.428452381,0.054478648,0.057646142,0.096369086,0.064013688,0.068058407,0.110125685,0.40347865,0.44425614,0.38198447,0.34464634,0.24058341,0.53857807,0.294521,0.32896386,0.1892463,0.21661896,0.10446659,0.3183267
48,0.324,0.33318,0.256769231,0.262020408,0.196275,0.379547619,0.055240134,0.048284183,0.083526039,0.066288122,0.109100566,0.090969631,0.37924013,0.38146418,0.34029527,0.32830853,0.30537557,0.47051725,0.26876,0.28489582,0.17324319,0.19573229,0.08717443,0.28857799
51,0.304,0.30762,0.276961539,0.236520408,0.189925,0.358142857,0.053524408,0.046011734,0.103197903,0.061835176,0.107238857,0.085123187,0.35752441,0.35363173,0.38015944,0.29835558,0.29716386,0.44326604,0.250476,0.26160827,0.17376364,0.17468523,0.08268614,0.27301967
54,0.28,0.29269,0.229230769,0.224632653,0.156225,0.347190476,0.04755654,0.046392527,0.08190623,0.056111349,0.070204039,0.088128792,0.32755654,0.33908253,0.311137,0.280744,0.22642904,0.43531927,0.232443,0.24629747,0.14732454,0.1685213,0.08602096,0.25906168
57,0.265,0.25603,0.232269231,0.208377551,0.15845,0.336309524,0.055906527,0.044907152,0.102834152,0.065230051,0.104259863,0.102382104,0.32090653,0.30093715,0.33510338,0.2736076,0.26270986,0.43869163,0.209093,0.21112285,0.12943508,0.1431475,0.05419014,0.23392742
60,0.238,0.25588,0.213884615,0.185867347,0.12135,0.303357143,0.043785365,0.041156559,0.091130636,0.049783183,0.067991859,0.080890413,0.28178537,0.29703656,0.30501525,0.23565053,0.18934186,0.38424756,0.194215,0.21472344,0.12275398,0.13608416,0.05335814,0.22246673
